"","title","type","score","scored_by","members","episodes","source","start_year"
"20416","Guoshu Leyuan","tv",NA,3,26,50,"original",NA
"20417","Haha Da Maoxian","tv",NA,3,26,26,"original",NA
"20418","Huanbao Tegong Dui","tv",NA,2,26,72,"original",NA
"20419","Muzhi Ji","ona",NA,5,26,12,"original",2017
"20420","Dahai Chengzhang Ji: Baowei Jiayuan","tv",NA,3,26,100,"original",NA
"20421","Fendou Ji","tv",NA,3,26,20,"original",NA
"20422","Gan Bu Da Maoxian","tv",NA,3,26,52,"original",NA
"20423","Dao Jian","ona",NA,4,26,3,"novel",NA
"20424","Yuzhou Huwei Dui 2","tv",NA,4,26,26,"original",NA
"20425","Hai! Bei Le Hu","ona",NA,3,26,26,"original",NA
"20426","CiTY","movie",NA,7,26,1,"original",NA
"20427","Meogda","movie",NA,8,26,1,"original",NA
"20428","Effendi: Qi Yuan Lixian","movie",NA,1,26,1,NA,2018
"20429","Akai Rousoku to Ningyo","ova",NA,3,26,1,NA,1995
"20430","Sentou Yousei Yukikaze: Experimental Movie","special",NA,7,26,1,"novel",2008
"20431","Yahabe","ova",NA,5,26,1,"original",2012
"20432","Naeireun Woldeukeop","special",NA,2,26,1,NA,NA
"20433","Saru Rururu","ova",NA,6,26,4,"picture book",2000
"20434","Minna Unchi","ova",NA,6,26,4,"picture book",2000
"20435","Xiao Heshang: You Fang Seng","movie",NA,5,25,1,"original",NA
"20436","Riyuetan","movie",NA,3,25,1,"other",NA
"20437","Shenma Yu Yaodao","movie",NA,7,25,1,"other",NA
"20438","Huan You Diqiu Bashi Tian","movie",NA,6,25,1,"novel",NA
"20439","He De Chuanshuo","movie",NA,7,25,1,"other",NA
"20440","Yao Shu Yu Songshu","movie",NA,7,25,1,"other",NA
"20441","Huoba Jie","movie",NA,7,25,1,"other",NA
"20442","Poshui Jie","movie",NA,4,25,1,"other",NA
"20443","Shei Shi Guanjun","movie",NA,6,25,1,"original",NA
"20444","Xin Datou Er Zi He Xiao Tou Baba: Chuxi - Baiye Cheng","special",NA,2,25,1,NA,2019
"20445","Xin Datou Er Zi He Xiao Tou Baba: Chao Neng Baba","special",NA,2,25,1,NA,2016
"20446","Xin Datou Er Zi He Xiao Tou Baba: Chuanqi Doudou","special",NA,2,25,1,NA,2019
"20447","Cong Ming De Ben Xiao Zhu","tv",NA,3,25,17,"original",NA
"20448","Xiao Shenxian He Xiao Xiannu","tv",NA,4,25,104,"original",NA
"20449","Xiao Bei Liulang Ji","tv",NA,2,25,10,"original",NA
"20450","Qi Jiguang Yingxiong Chuan","movie",NA,1,25,1,"other",2012
"20451","Kaixin Chaoren 2: Qi Yuan Xing Zhi Zhan","movie",NA,1,25,1,"original",2014
"20452","Dianji Xiaozi","tv",NA,3,25,26,"original",NA
"20453","Kaixin Baobei: Qihuan Zhi Lu","tv",NA,2,25,40,"original",NA
"20454","Guodong San Jianke","tv",NA,3,25,20,"original",NA
"20455","Tu Baobao He San Jian Shenqi Baobei","tv",NA,3,25,164,"original",NA
"20456","Lei Feng De Gushi","tv",NA,2,25,30,"other",NA
"20457","Shen Shou Jin Gang 2: Tianshen De Shou","tv",NA,3,25,52,"original",NA
"20458","Shaonian Shiye: Shenmi Dadao","tv",NA,2,25,26,"original",NA
"20459","Shaonian Shiye: Duanan Chuanqi","tv",NA,2,25,26,"original",NA
"20460","Shaonian Shiye: Jishan Yang Ming","tv",NA,2,25,26,"original",NA
"20461","Dou Long Zhanshi 6","tv",NA,2,25,30,"original",NA
"20462","Zhengyi Xiao Tu Jing","tv",NA,1,25,120,"original",NA
"20463","Jiu Hua Xiao Heshang","tv",NA,1,25,104,NA,NA
"20464","Doby Disy: Hanzi Xiao Zhentan","tv",NA,3,25,52,"original",NA
"20465","Doby Disy: Meimeng Jingling","tv",NA,2,25,26,"original",NA
"20466","Doby Disy: Meimeng Nian Nian","movie",NA,1,25,1,"original",2018
"20467","Shenlong Zhengjiu Dui: Yuanqi Xing Hun","tv",NA,2,25,52,"original",NA
"20468","Mu Qi Ling 3: Qi Ling Zhi Xin","tv",NA,1,25,52,NA,NA
"20469","Shenqi A You","tv",NA,1,25,52,"original",NA
"20470","Xiao Ji Bu Hao Re: Xian Dan Si","tv",NA,1,25,78,"original",NA
"20471","Shouwang Zhengfeng: Yuanshi Zhi Li","tv",NA,1,25,26,"original",NA
"20472","Baozou LOL","ona",NA,1,25,12,"game",2015
"20473","Xiongmao Shou Zha","ona",NA,4,25,10,"manga",2014
"20474","Shijiu Guo","ona",NA,3,25,109,"original",2014
"20475","Hu Wang Guilai","movie",NA,3,25,1,"original",2010
"20476","Fengle! Gui Bao","tv",NA,2,25,52,NA,NA
"20477","Dongbei Hua Ze Lei: Qi Yao Ezi","movie",NA,3,25,1,"original",2015
"20478","Kung Fu Si Xia: Yong Chuang Digong","movie",NA,2,25,1,"original",2019
"20479","Xian Bu Chuanqi","movie",NA,1,25,1,"original",NA
"20480","Zhongkui Chuanqi: Sui Han Sanyou","movie",NA,1,25,1,NA,2017
"20481","Zui Ke Ai De Ren","tv",NA,3,25,14,NA,NA
"20482","Tian Yanshen Tu","tv",NA,1,25,52,"original",NA
"20483","Luo Baobei Aixin Xiao Juchang","tv",NA,2,25,52,"original",NA
"20484","Maitian Shen Shu","tv",NA,3,25,356,"original",NA
"20485","Lu Dang Jin Jian","tv",NA,2,25,30,"novel",NA
"20486","Qiao Qiao Ban","tv",NA,3,25,26,"other",NA
"20487","Xiaonu Cao E","tv",NA,4,25,10,"other",NA
"20488","Ku Bao Fangkuai","tv",NA,3,25,229,"original",NA
"20489","Xiao Chaoren Dui","tv",NA,3,25,26,"original",NA
"20490","Xiao Ciwei Lan Doudou","tv",NA,3,25,26,"original",NA
"20491","Rexue Sanguo: Luanshi Tianxia","tv",NA,1,25,82,"novel",NA
"20492","Shanhai Qi Tan","tv",NA,3,25,26,"original",NA
"20493","Kan Ge Qiu","ona",NA,3,25,17,"original",2017
"20494","Taoqi Huaxue","tv",NA,3,25,50,"original",NA
"20495","Maolu Xiao Zhentan","tv",NA,3,25,52,"original",NA
"20496","Qihuan Lucheng: Mao Mao Shu Laile","tv",NA,2,25,13,"original",NA
"20497","Tunshu Zhen Lequ Sanzijing","tv",NA,4,25,100,"original",NA
"20498","Guai Baobao Ting Gushi","tv",NA,2,25,52,"original",NA
"20499","Xiao Gou Pipi","tv",NA,2,25,65,"original",NA
"20500","Yu Laoban No Richang","ona",NA,3,25,67,"original",2017
"20501","Hulu Xiang Dingdang","tv",NA,2,25,52,"original",NA
"20502","Karst Shenqi Zhi Lu","tv",NA,3,25,26,"original",NA
